task_id,story_points,KSP
0,4,11
1,6,5
2,6,10
3,2,13
4,6,10
5,4,9
6,4,5
7,4,15
8,1,9
9,4,19
10,1,15
11,4,14
12,5,16
13,4,5
14,3,6
15,2,10
16,5,14
17,1,3
18,6,2
19,3,14
20,6,7
21,1,10
22,4,16
23,6,5
24,4,19
25,5,7
26,5,12
27,3,2
28,2,16
29,2,17
30,1,2
31,1,8
32,4,14
33,6,6
34,6,11
35,2,5
36,3,17
37,4,15
38,4,3
39,6,12
40,5,18
41,5,8
42,6,2
43,2,2
44,3,13
45,3,19
46,5,9
47,3,10
48,3,8
49,1,19
50,5,1
51,3,19
52,3,13
53,5,5
54,2,7
55,6,16
56,1,18
57,4,15
58,1,7
59,5,16
60,6,17
61,2,11
62,3,2
63,4,15
64,1,6
65,5,4
66,4,4
67,5,1
68,4,1
69,2,6
70,4,6
71,6,18
72,5,4
73,3,7
74,3,10
75,2,17
76,4,7
77,6,16
78,2,7
79,4,2
80,2,16
81,6,8
82,2,6
83,2,15
84,6,4
85,1,19
86,1,13
87,5,7
88,1,19
89,6,11
90,4,6
91,4,11
92,2,7
93,4,14
94,1,4
95,6,7
96,2,14
97,6,12
98,6,10
99,4,5
100,3,8
101,1,12
102,2,4
103,6,7
104,3,17
105,5,5
106,3,8
107,1,10
108,2,9
109,2,17
110,4,6
111,5,2
112,6,10
113,1,17
114,6,14
115,2,1
116,5,14
117,4,9
118,1,19
119,5,19
120,1,2
121,2,11
122,4,7
123,5,15
124,6,18
125,2,16
126,6,19
127,2,11
128,4,5
129,2,15
130,6,2
131,5,18
132,3,5
133,5,7
134,2,1
135,6,12
136,5,7
137,3,16
138,6,8
139,3,19
140,4,14
141,1,9
142,5,18
143,6,3
144,4,14
145,5,7
146,5,15
147,2,4
148,6,11
149,2,6
150,2,13
151,6,17
152,3,13
153,4,13
154,3,15
155,1,19
156,6,16
157,1,8
158,4,2
159,1,8
160,1,11
161,1,10
162,3,14
163,3,6
164,1,11
165,3,8
166,4,8
167,1,7
168,4,17
169,5,15
170,4,4
171,1,14
172,3,7
173,6,4
174,5,14
175,2,1
176,4,19
177,5,15
178,5,12
179,6,5
180,2,10
181,5,13
182,2,13
183,4,4
184,5,6
185,2,9
186,6,13
187,2,5
188,6,19
189,5,19
190,6,13
191,2,7
192,5,14
193,3,11
194,1,13
195,5,10
196,6,2
197,4,16
198,4,15
199,4,18
200,5,13
201,3,18
202,2,10
203,6,17
204,5,14
205,2,9
206,2,10
207,4,3
208,3,6
209,4,3
210,1,3
211,4,7
212,6,12
213,4,6
214,2,3
215,3,6
216,1,14
217,4,7
218,1,1
219,6,12
220,5,9
221,2,2
222,3,5
223,3,9
224,2,18
225,5,16
226,3,1
227,3,8
228,4,8
229,3,19
230,1,7
231,5,5
232,1,13
233,1,4
234,1,17
235,2,10
236,3,19
237,4,1
238,5,12
239,3,12
240,3,13
241,4,18
242,6,1
243,3,12
244,2,17
245,5,15
246,4,1
247,6,9
248,2,6
249,5,12
250,3,16
251,1,7
252,6,7
253,1,14
254,4,19
255,5,14
256,4,19
257,1,6
258,1,16
259,4,1
260,5,4
261,2,13
262,2,5
263,3,8
264,5,3
265,4,13
266,3,10
267,4,14
268,4,5
269,5,2
270,4,9
271,3,9
272,5,8
273,6,18
274,2,7
275,3,6
276,6,3
277,6,11
278,3,17
279,4,8
280,3,12
281,3,8
282,3,9
283,1,16
284,4,6
285,4,10
286,2,9
287,4,17
288,3,8
289,1,7
290,3,8
291,3,10
292,6,4
293,3,19
294,2,1
295,4,19
296,4,1
297,6,13
298,5,10
299,2,7
300,4,11
301,2,3
302,3,1
303,3,2
304,4,11
305,3,18
306,6,17
307,2,16
308,3,13
309,3,7
310,3,13
311,2,3
312,5,13
313,4,11
314,4,5
315,5,13
316,3,15
317,6,18
318,5,1
319,1,8
320,3,7
321,2,18
322,3,17
323,2,12
324,5,3
