task_id,story_points,KSP
0,1,11
1,5,8
2,5,5
3,1,10
4,4,9
5,5,14
6,1,12
7,2,7
8,4,7
9,1,9
10,4,4
11,5,7
12,5,2
13,6,14
14,1,18
15,3,15
16,3,9
17,2,9
18,4,6
19,5,14
20,4,11
21,5,15
22,5,13
23,3,10
24,6,19
25,4,4
26,6,2
27,5,5
28,3,1
29,5,8
30,5,15
31,3,3
32,3,19
33,5,8
34,3,2
35,3,3
36,3,16
37,6,1
38,4,15
39,2,6
40,3,2
41,4,9
42,6,11
43,6,7
44,2,5
45,5,15
46,6,12
47,4,4
48,4,5
49,5,7
50,2,9
51,5,1
52,2,19
53,3,2
54,6,7
55,1,10
56,6,5
57,3,18
58,6,4
59,3,17
60,5,6
61,3,19
62,6,4
63,4,12
64,4,3
65,3,5
66,5,3
67,3,5
68,4,12
69,3,8
70,3,13
71,3,5
72,6,16
73,6,16
74,2,5
75,2,4
76,2,14
77,3,6
78,2,16
79,5,3
80,5,10
81,5,12
82,6,7
83,5,4
84,6,6
85,2,14
86,3,11
87,2,6
88,6,2
89,4,7
90,5,17
91,1,19
92,5,12
93,2,15
94,6,14
95,5,16
96,6,5
97,3,8
98,4,12
99,6,10
100,6,4
101,3,15
102,4,2
103,1,18
104,6,9
105,5,13
106,3,5
107,5,11
108,1,2
109,4,11
110,3,11
111,6,3
112,5,17
113,6,4
114,5,3
115,5,2
116,4,10
117,1,6
118,1,9
119,2,7
120,1,18
121,3,6
122,5,13
123,1,4
124,6,17
125,1,12
126,2,12
127,5,3
128,6,5
129,1,2
130,1,14
131,5,4
132,5,17
133,3,5
134,2,6
135,3,19
136,6,8
137,5,2
138,2,13
139,3,9
140,5,17
141,1,19
142,6,6
143,1,3
144,5,10
145,1,3
146,2,8
147,3,5
148,5,19
149,4,19
150,4,7
151,2,19
152,6,11
153,2,3
154,1,19
155,4,3
156,6,8
157,6,16
158,6,17
159,5,4
160,6,6
161,6,19
162,4,12
163,4,10
164,2,14
165,2,6
166,3,19
167,5,10
168,4,5
169,1,5
170,2,4
171,4,15
172,6,14
173,6,5
174,1,6
175,6,12
176,2,7
177,1,6
178,4,16
179,3,11
180,4,18
181,3,13
182,4,17
183,2,11
184,2,9
185,2,15
186,4,5
187,1,19
188,5,12
189,4,18
190,4,3
191,6,5
192,2,13
193,2,4
194,3,17
195,6,12
196,2,3
197,3,5
198,2,11
199,2,15
200,4,16
201,4,17
202,3,7
203,4,15
204,5,5
205,5,4
206,5,9
207,1,8
208,4,17
209,3,6
210,4,8
211,6,8
212,5,19
213,5,7
214,1,7
215,4,11
216,2,5
217,5,8
218,6,6
219,1,14
220,5,8
221,2,19
222,6,16
223,1,19
224,2,6
225,5,3
226,2,18
227,5,10
228,3,2
229,5,3
230,4,16
231,6,18
232,5,10
233,2,11
234,2,7
235,2,2
236,5,14
237,4,9
238,1,6
239,1,14
240,5,3
241,2,7
242,5,12
243,1,17
244,1,5
245,5,16
246,5,5
247,4,4
248,6,6
249,1,13
250,4,12
251,3,11
252,6,3
253,2,15
254,1,14
255,6,15
256,6,1
257,3,18
258,3,9
259,1,16
260,2,4
261,6,4
262,6,16
263,3,15
264,5,19
265,6,3
266,3,2
267,6,13
268,1,15
269,6,13
270,5,13
271,2,12
272,6,19
273,2,7
274,6,12
275,1,2
276,4,10
277,2,3
278,1,8
279,2,14
280,2,9
281,1,12
282,4,1
283,6,14
284,2,6
285,4,6
286,3,19
287,2,6
288,5,7
289,6,14
290,1,7
291,1,9
292,3,14
293,3,8
294,4,13
295,1,1
296,3,17
297,6,2
298,3,15
299,6,1
300,1,2
301,1,11
302,4,4
303,2,2
304,6,8
305,3,14
306,4,9
307,3,2
308,5,4
309,5,9
310,5,3
311,6,1
312,3,10
313,4,11
314,6,12
315,2,16
316,5,11
317,4,10
318,2,16
319,4,16
320,6,4
321,6,3
322,5,3
323,4,1
324,6,2
325,5,13
326,5,6
327,5,14
328,5,18
329,3,9
330,2,6
331,6,4
332,4,5
333,4,18
334,5,5
335,6,19
336,4,19
337,1,19
338,6,4
339,4,7
340,3,14
341,4,15
342,6,14
343,4,8
344,2,10
345,1,17
346,3,17
347,1,1
348,6,10
349,2,2
350,5,11
351,1,16
352,1,2
353,3,10
354,1,18
355,1,9
356,1,9
357,5,19
358,3,16
359,5,13
360,5,12
361,1,6
362,1,5
363,6,7
364,1,13
365,2,9
366,4,5
367,5,9
368,2,15
369,5,8
370,5,9
371,3,6
372,2,19
373,5,13
374,2,13
375,6,10
376,3,14
377,1,6
378,6,17
379,4,1
380,6,3
381,4,13
382,4,10
383,5,11
384,6,9
385,4,16
386,4,18
387,4,3
388,3,18
389,3,10
390,4,19
391,1,19
392,3,18
393,4,9
394,3,15
395,5,15
396,3,9
397,2,9
398,1,18
399,1,15
400,5,18
401,3,3
402,3,6
403,5,19
404,5,15
405,2,1
406,1,4
407,3,1
408,1,7
409,4,1
410,3,1
411,6,2
412,3,5
413,6,10
414,2,10
415,4,2
416,3,15
417,4,6
418,1,7
419,1,1
420,1,15
421,2,19
422,2,2
423,6,8
424,1,10
425,3,7
426,6,5
427,6,9
428,1,17
429,6,19
430,5,15
431,4,4
432,2,9
433,6,4
434,1,7
435,5,4
436,5,14
437,4,12
438,5,7
439,1,13
440,5,1
441,3,2
442,2,17
443,3,8
444,5,14
445,1,14
446,2,19
447,4,9
448,5,18
449,6,8
450,5,8
451,3,8
452,1,11
453,5,9
454,2,3
455,3,16
456,3,9
457,1,5
458,3,4
459,6,6
460,2,19
461,2,14
462,6,2
463,2,16
464,6,7
