task_id,story_points,KSP
0,4,11
1,6,8
2,2,12
3,3,14
4,4,1
5,4,10
6,1,12
7,2,6
8,2,10
9,6,9
10,4,4
11,2,3
12,6,15
13,1,14
14,2,14
15,6,8
16,4,4
17,4,14
18,6,19
19,4,7
20,1,17
21,1,17
22,5,17
23,2,1
24,4,14
25,3,6
26,2,7
27,1,11
28,2,13
29,5,17
30,6,8
31,5,4
32,3,11
33,4,10
34,4,13
35,4,12
36,6,5
37,1,16
38,4,14
39,3,19
40,3,9
41,4,12
42,3,3
43,4,16
44,4,1
45,1,17
46,3,17
47,6,9
48,1,15
49,6,11
50,4,5
51,2,14
52,4,7
53,1,1
54,1,9
55,5,6
56,1,3
57,1,17
58,3,13
59,2,18
60,5,6
61,6,11
62,2,19
63,1,17
64,2,15
65,4,18
66,5,19
67,3,11
68,6,18
69,5,9
70,3,7
71,4,15
72,3,13
73,3,3
74,3,8
75,3,2
76,2,1
77,6,13
78,2,16
79,4,16
80,4,19
81,1,9
82,6,18
83,1,6
84,1,9
85,5,11
86,5,14
87,2,6
88,3,7
89,2,8
90,1,4
91,6,17
92,5,6
93,6,3
94,2,18
95,2,14
96,5,10
97,3,17
98,6,18
99,3,16
100,2,16
101,3,8
102,4,13
103,1,6
104,4,4
105,6,7
106,4,3
107,2,17
108,2,8
109,5,1
110,1,16
111,2,11
112,4,11
113,2,11
114,6,11
115,2,1
116,1,12
117,3,9
118,4,8
119,4,19
120,1,11
121,5,8
122,2,10
123,1,1
124,5,18
125,1,2
126,3,7
127,3,11
128,6,4
129,4,7
130,5,9
131,2,7
132,3,4
133,3,2
134,1,14
135,2,9
136,5,14
137,2,15
138,3,6
139,1,15
140,3,15
141,3,6
142,3,2
143,5,15
144,4,1
145,5,17
146,4,19
147,6,10
148,3,2
149,4,4
150,4,4
151,2,7
152,5,8
153,1,17
154,6,12
155,6,2
156,5,1
157,4,3
158,6,1
159,2,14
160,4,19
161,2,8
162,4,11
163,1,10
164,2,7
165,3,11
166,2,3
167,5,16
168,4,2
169,6,2
170,4,1
171,2,15
172,4,13
173,6,12
174,2,17
175,1,7
176,4,2
177,5,4
178,4,4
179,1,3
180,6,5
181,6,8
182,1,14
183,3,19
184,6,14
185,1,18
186,4,19
187,1,17
188,2,9
189,6,4
190,2,18
191,2,2
192,6,18
193,1,14
194,3,13
195,1,18
196,6,4
197,3,1
198,5,16
199,6,9
200,1,5
201,6,12
202,2,12
203,1,11
204,3,2
205,1,13
206,6,6
207,1,7
208,1,2
209,2,8
210,4,5
211,6,9
212,4,10
213,1,9
214,2,7
215,5,10
216,2,3
217,6,16
218,4,4
219,6,1
220,3,2
221,2,16
222,5,5
223,3,8
224,6,11
225,1,10
226,4,14
227,4,8
228,2,18
229,2,4
230,3,7
231,1,9
232,4,10
233,4,1
234,3,11
235,2,1
236,6,16
237,2,17
238,6,4
239,4,14
240,3,3
241,1,17
242,1,5
243,4,1
244,4,15
245,1,9
246,6,1
247,4,8
248,4,2
249,4,4
250,5,5
251,1,3
252,6,2
253,4,7
254,3,13
255,6,1
256,5,18
257,3,18
258,6,11
259,6,6
260,5,9
261,6,4
262,3,9
263,5,14
264,6,2
265,3,1
266,1,17
267,5,3
268,4,8
269,6,19
270,6,7
271,3,10
272,5,15
273,4,16
274,2,8
275,6,7
276,4,13
277,6,15
278,2,19
279,4,3
280,1,18
281,4,8
282,6,13
283,6,16
284,5,8
285,4,15
286,1,16
287,2,8
288,4,3
289,1,14
290,1,1
291,5,13
292,1,4
293,6,1
294,4,7
295,1,1
296,3,14
297,3,7
298,5,19
299,5,3
300,2,15
301,3,9
302,5,14
303,4,16
304,3,1
305,5,5
306,4,16
307,3,12
308,5,19
309,3,3
310,3,13
311,5,9
312,3,5
313,5,18
314,5,17
315,1,6
316,5,13
317,3,8
318,4,13
319,3,4
320,3,9
321,5,3
322,6,5
323,5,16
324,4,17
325,5,6
326,3,2
327,1,2
